judet,x,y
Alba,-117,34
Arad,-266,38
Arges,-20,-100
Bacau,140,60
Bihor,-238,124
Bistrita Nasaud,-47,154
Botosani,132,227
Brasov,25,-19
Braila,225,-90
Buzau,135,-70
Caras Severin,-259,-94
Calarasi,159,-182
Cluj,-130,98
Constanta,260,-179
Covasna,75,-2
Dambovita,39,-116
Dolj,-121,-198
Galati,233,-12
Giurgiu,74,-210
Gorj,-135,-114
Harghita,37,80
Hunedoara,-190,-6
Ialomita,145,-142
Iasi,177,150
Ilfov,93,-152
Maramures,-96,200
Mehedinti,-201,-172
Mures,-43,74
Neamt,93,123
Olt,-55,-186
Prahova,71,-78
Satu Mare,-191,202
Salaj,-173,150
Sibiu,-86,-8
Suceava,39,192
Teleorman,-9,-218
Timis,-323,-14
Tulcea,282,-100
Vaslui,225,64
Valcea,-81,-92
Vrancea,141,-7
